cafeteria si o no,Gastos(pesos mxn),Horario,Menu,Inconformidad,Aumento de Gastos
si,50,8,Desayunos completos,8,si
si,80,7,Comida y Almuerzo Completo,10,si
si,100,8,Comida y Almuerzo Completo,10,si
si,30,5,menu Variado,10,Tal vez
si,35,5,Desayunos completos,8,si
si,100,9,menu Variado,10,si
si,25,5,menu Variado,7,Tal vez
si,40,6,menu Variado,10,si
si,30,8,Comida rapida,10,Tal vez
si,50,6,menu Variado,10,si
si,60,7,menu Variado,10,si
si,40,7,menu Variado,10,si
si,50,6,Desayunos completos,10,no
si,50,6,Comida y Almuerzo Completo,10,si
si,50,6,menu Variado,7,Tal vez
no,0,6,menu Variado,1,no
si,100,6,Desayunos completos,10,si
si,100,6,menu Variado,10,si
si,50,7,menu Variado,8,no
si,50,7,Comida rapida,10,Tal vez
si,50,5,menu Variado,5,si
si,40,8,menu Variado,10,si
si,150,7,menu Variado,10,si
si,0,6,menu Variado,8,no
si,70,5,menu Variado,6,si
si,30,5,Comida rapida,10,si
si,0,6,Desayunos completos,8,no
si,50,4,Desayunos completos,10,si
si,60,6,Comida y Almuerzo Completo,9,Tal vez
si,100,9,Desayunos completos,10,si
si,17,4,menu Variado,6,Tal vez
si,50,5,menu Variado,7,Tal vez
si,80,7,menu Variado,10,Tal vez
si,55,6,menu Variado,10,si
si,58,8,menu Variado,8,Tal vez
si,40,8,menu Variado,5,Tal vez
si,45,8,menu Variado,10,si
si,50,6,menu Variado,10,si
si,100,9,Comida rapida,9,si
si,20,6,menu Variado,7,no
si,60,6,menu Variado,10,si
si,56,6,Comida rapida,7,si
si,45,7,menu Variado,7,si
si,50,8,menu Variado,10,si
si,40,5,Desayunos completos,1,Tal vez
si,25,6,menu Variado,8,si
si,50,7,Comida y Almuerzo Completo,10,si
si,100,10,Comida rapida,10,si
si,50,9,menu Variado,10,Tal vez
si,50,6,menu Variado,10,si
si,80,8,menu Variado,10,Tal vez
si,100,8,Comida rapida,7,si
si,70,8,Comida y Almuerzo Completo,8,Tal vez
si,50,6,Comida y Almuerzo Completo,10,si
si,50,7,menu Variado,10,Tal vez
si,20,6,menu Variado,9,no
si,70,7,menu Variado,10,si
si,110,7,menu Variado,10,si
si,70,9,menu Variado,10,si
si,70,8,menu Variado,10,Tal vez
si,30,8,Comida rapida,8,Tal vez
si,30,6,Comida rapida,10,no
si,40,8,menu Variado,9,si
si,30,7,menu Variado,9,Tal vez
si,50,7,menu Variado,1,si
si,50,6,Comida y Almuerzo Completo,10,si
si,110,10,Comida y Almuerzo Completo,1,Tal vez
si,100,7,Comida y Almuerzo Completo,10,si
si,80,8,Comida y Almuerzo Completo,10,si
si,50,6,Desayunos completos,10,Tal vez
si,100,10,menu Variado,10,si
si,60,8,menu Variado,8,Tal vez
si,70,8,Comida rapida,10,si
si,100,9,menu Variado,10,si
si,100,8,Comida y Almuerzo Completo,10,Tal vez
si,0,6,menu Variado,9,Tal vez
si,30,6,Comida y Almuerzo Completo,9,si
si,100,7,menu Variado,10,Tal vez
si,50,6,menu Variado,10,si
si,70,7,Desayunos completos,10,si
no,35,7,Comida rapida,1,no
si,100,6,menu Variado,10,si
si,40,7,Desayunos completos,10,si
si,80,5,menu Variado,10,si
si,60,4,menu Variado,10,si
si,50,5,Desayunos completos,10,Tal vez
si,100,5,Comida y Almuerzo Completo,7,si
si,35,7,Comida y Almuerzo Completo,9,si
si,40,7,Comida y Almuerzo Completo,10,si
si,50,8,Desayunos completos,7,si
si,50,6,Comida y Almuerzo Completo,8,si
si,50,8,Desayunos completos,10,si
si,45,8,Comida y Almuerzo Completo,10,si
si,45,8,menu Variado,10,si
si,50,7,menu Variado,10,si
si,45,7,menu Variado,10,Tal vez
si,80,6,menu Variado,9,si
si,50,7,Desayunos completos,5,Tal vez
si,50,6,Comida y Almuerzo Completo,10,si
si,80,6,menu Variado,5,no
si,40,7,Comida y Almuerzo Completo,3,si
si,60,6,Comida y Almuerzo Completo,5,si
si,50,6,Comida y Almuerzo Completo,5,Tal vez
si,25,6,Comida rapida,10,Tal vez
si,35,8,menu Variado,10,no
