cafeteria ¿si/no?,Gastos(pesos mxn),Horario,Menu,Escala_inconformidad,Aumento de Gastos
Sí,50,8,Desayunos completos,8,Sí
Sí,80,7,Comida/Almuerzo Completo,10,Sí
Sí,100,8,Comida/Almuerzo Completo,10,Sí
Sí,30,5,Menú Variado,10,No estoy segur@
Sí,35,5,Desayunos completos,8,Sí
Sí,100,9,Menú Variado,10,Sí
Sí,25,5,Menú Variado,7,No estoy segur@
Sí,40,6,Menú Variado,10,Sí
Sí,30,8,Comida Rápida,10,No estoy segur@
Sí,50,6,Menú Variado,10,Sí
Sí,60,7,Menú Variado,10,Sí
Sí,40,7,Menú Variado,10,Sí
Sí,50,6,Desayunos completos,10,No
Sí,50,6,Comida/Almuerzo Completo,10,Sí
Sí,50,6,Menú Variado,7,No estoy segur@
No,0,6,Menú Variado,1,No
Sí,100,6,Desayunos completos,10,Sí
Sí,100,6,Menú Variado,10,Sí
Sí,50,7,Menú Variado,8,No
Sí,50,7,Comida Rápida,10,No estoy segur@
Sí,50,5,Menú Variado,5,Sí
Sí,40,8,Menú Variado,10,Sí
Sí,150,7,Menú Variado,10,Sí
Sí,0,6,Menú Variado,8,No
Sí,70,5,Menú Variado,6,Sí
Sí,30,5,Comida Rápida,10,Sí
Sí,0,6,Desayunos completos,8,No
Sí,50,4,Desayunos completos,10,Sí
Sí,60,6,Comida/Almuerzo Completo,9,No estoy segur@
Sí,100,9,Desayunos completos,10,Sí
Sí,17,4,Menú Variado,6,No estoy segur@
Sí,50,5,Menú Variado,7,No estoy segur@
Sí,80,7,Menú Variado,10,No estoy segur@
Sí,55,6,Menú Variado,10,Sí
Sí,58,8,Menú Variado,8,No estoy segur@
Sí,40,8,Menú Variado,5,No estoy segur@
Sí,45,8,Menú Variado,10,Sí
Sí,50,6,Menú Variado,10,Sí
Sí,100,9,Comida Rápida,9,Sí
Sí,20,6,Menú Variado,7,No
Sí,60,6,Menú Variado,10,Sí
Sí,56,6,Comida Rápida,7,Sí
Sí,45,7,Menú Variado,7,Sí
Sí,50,8,Menú Variado,10,Sí
Sí,40,5,Desayunos completos,1,No estoy segur@
Sí,25,6,Menú Variado,8,Sí
Sí,50,7,Comida/Almuerzo Completo,10,Sí
Sí,100,10,Comida Rápida,10,Sí
Sí,50,9,Menú Variado,10,No estoy segur@
Sí,50,6,Menú Variado,10,Sí
Sí,80,8,Menú Variado,10,No estoy segur@
,100,8,Comida Rápida,7,Sí
Sí,70,8,Comida/Almuerzo Completo,8,No estoy segur@
Sí,50,6,Comida/Almuerzo Completo,10,Sí
Sí,50,7,Menú Variado,10,No estoy segur@
Sí,20,6,Menú Variado,9,No
Sí,70,7,Menú Variado,10,Sí
Sí,110,7,Menú Variado,10,Sí
Sí,70,9,Menú Variado,10,Sí
Sí,70,8,Menú Variado,10,No estoy segur@
Sí,30,8,Comida Rápida,8,No estoy segur@
Sí,30,6,Comida Rápida,10,No
Sí,40,8,Menú Variado,9,Sí
Sí,30,7,Menú Variado,9,No estoy segur@
Sí,50,7,Menú Variado,1,Sí
Sí,50,6,Comida/Almuerzo Completo,10,Sí
Sí,500,10,Comida/Almuerzo Completo,1,No estoy segur@
Sí,100,7,Comida/Almuerzo Completo,10,Sí
Sí,80,8,Comida/Almuerzo Completo,10,Sí
Sí,50,6,Desayunos completos,10,No estoy segur@
Sí,100,10,Menú Variado,10,Sí
Sí,60,8,Menú Variado,8,No estoy segur@
Sí,70,8,Comida Rápida,10,Sí
Sí,100,9,Menú Variado,10,Sí
Sí,100,8,Comida/Almuerzo Completo,10,No estoy segur@
Sí,0,6,Menú Variado,9,No estoy segur@
Sí,30,6,Comida/Almuerzo Completo,9,Sí
Sí,100,7,Menú Variado,10,No estoy segur@
Sí,50,6,Menú Variado,10,Sí
Sí,70,7,Desayunos completos,10,Sí
No,35,7,Comida Rápida,1,No
Sí,100,6,Menú Variado,10,Sí
Sí,40,7,Desayunos completos,10,Sí
Sí,80,5,Menú Variado,10,Sí
Sí,60,4,Menú Variado,10,Sí
Sí,50,5,Desayunos completos,10,No estoy segur@
Sí,100,5,Comida/Almuerzo Completo,7,Sí
Sí,35,7,Comida/Almuerzo Completo,9,Sí
Sí,40,7,Comida/Almuerzo Completo,10,Sí
Sí,50,8,Desayunos completos,7,Sí
Sí,50,6,Comida/Almuerzo Completo,8,Sí
Sí,50,8,Desayunos completos,10,Sí
Sí,45,8,Comida/Almuerzo Completo,10,Sí
Sí,45,8,Menú Variado,10,Sí
Sí,50,7,Menú Variado,10,Sí
Sí,45,7,Menú Variado,10,No estoy segur@
Sí,80,6,Menú Variado,9,Sí
Sí,50,7,Desayunos completos,5,No estoy segur@
Sí,50,6,Comida/Almuerzo Completo,10,Sí
Sí,80,6,Menú Variado,5,No
Sí,40,7,Comida/Almuerzo Completo,3,Sí
Sí,60,6,Comida/Almuerzo Completo,5,Sí
Sí,50,6,Comida/Almuerzo Completo,5,No estoy segur@
Sí,25,6,Comida Rápida,10,No estoy segur@
Sí,35,8,Menú Variado,10,No
